ProductID,Analyst,Product,CampaignName,Qty,Region,State,City,Revenue,RevenueTarget
'8','DataAnalystMiami','Key Chain','Enjoy the Moment','25','South East','Florida','Miami','$13,873.00 ','$10,617.00 '
'68','DataAnalystMiami','Video Games','Fun with Colors','15','South East','Florida','Miami','$14,865.00 ','$15,960.00 '
'17','DataAnalystMiami','Can Koosies','Spring into Summer','5','South East','Florida','Miami','$16,611.00 ','$7,917.00 '
'20','DataAnalystMiami','Valve','Be Unique','5','South East','Florida','Miami','$12,174.00 ','$6,996.00 '
'24','DataAnalystMiami','Beach hat','Tailored for You','52','South East','Florida','Miami','$5,867.00 ','$19,049.00 '
'26','DataAnalystMiami','Bracket','Enjoy the Moment','35','South East','Florida','Miami','$9,112.00 ','$11,930.00 '
'86','DataAnalystMiami','Beer Stein','Fun with Colors','15','South East','Florida','Miami','$16,386.00 ','$9,989.00 '
'146','DataAnalystMiami','Wallet','Get Sporty','50','South East','Florida','Miami','$14,691.00 ','$14,601.00 '
'28','DataAnalystMiami','Sunglasses','Be Unique','52','South East','Florida','Miami','$12,974.00 ','$19,462.00 '
'35','DataAnalystMiami','Sunglasses','Enjoy the Moment','52','South East','Florida','Miami','$10,246.00 ','$18,683.00 '
'40','DataAnalystMiami','Martini Glasses','Fall into Winter','50','South East','Florida','Miami','$5,333.00 ','$7,346.00 '
'46','DataAnalystMiami','Wheel','Be Unique','25','South East','Florida','Miami','$11,059.00 ','$19,059.00 '
'51','DataAnalystMiami','Wireless ','Spring into Summer','35','South East','Florida','Miami','$5,117.00 ','$8,713.00 '
'2','DataAnalystMiami','Wallet','Enjoy the Moment','50','South East','Florida','Miami','$17,488.00 ','$9,941.00 '
'41','DataAnalystMiami','Beer Stein','Fun with Colors','15','South East','Florida','Miami','$12,711.00 ','$8,946.00 '
'3','DataAnalystSanDiego','Wallet','Spring into Summer','29','Far West','California','San Diego','$5,712.00 ','$6,947.00 '
'71','DataAnalystSanDiego','Beer Stein','Be Unique','12','Far West','California','San Diego','$10,027.00 ','$10,643.00 '
'30','DataAnalystSanDiego','Video Games','Tailored for You','5','Far West','California','San Diego','$11,703.00 ','$9,822.00 '
'33','DataAnalystSanDiego','Key Chain','Enjoy the Moment','2','Far West','California','San Diego','$16,207.00 ','$14,061.00 '
'42','DataAnalystSanDiego','Can Koosies','Fall into Winter','31','Far West','California','San Diego','$6,497.00 ','$6,147.00 '
'53','DataAnalystSanDiego','Beach hat','Tailored for You','7','Far West','California','San Diego','$16,850.00 ','$15,753.00 '
'18','DataAnalystSanDiego','Wheel','Fall into Winter','5','Far West','California','San Diego','$13,221.00 ','$8,584.00 '
'27','DataAnalystSanDiego','Wireless headphones','Fun with Colors','3','Far West','California','San Diego','$5,117.00 ','$9,305.00 '
'54','DataAnalystSanDiego','Bracket','Get Sporty','9','Far West','California','San Diego','$16,240.00 ','$16,038.00 '
'29','DataAnalystSanDiego','Martini Glasses','Fun with Colors','29','Far West','California','San Diego','$6,689.00 ','$13,088.00 '
'4','DataAnalystSanDiego','Sunglasses','Tailored for You','32','Far West','California','San Diego','$13,098.00 ','$5,663.00 '
'8','DataAnalystMiami','Key Chain','Be Unique','25','South East','Florida','Miami','$15,142.00 ','$7,147.00 '
'68','DataAnalystMiami','Video Games','Tailored for You','15','South East','Florida','Miami','$17,637.00 ','$6,876.00 '
'17','DataAnalystMiami','Can Koosies','Get Sporty','5','South East','Florida','Miami','$8,284.00 ','$9,840.00 '
'20','DataAnalystMiami','Valve','Tailored for You','5','South East','Florida','Miami','$5,766.00 ','$17,620.00 '
